imp	ST006Q04TA	theta#1	theta#2	theta#	LATENTST006Q04TA#1	LATENTST006Q04TA#2	LATENTST006Q04TA#	jf0_1_1	jf0_1_2	jf0_2_1	jf0_2_2
1	Yes	   0.0424949	    0.957505	2	1.42078e-302	           1	2	7.29579e-304	   0.0424949	1.34783e-302	    0.957505
1	No	   0.0424949	    0.957505	2	1.42078e-302	           1	2	7.29579e-304	   0.0424949	1.34783e-302	    0.957505
1	Yes	   0.0424949	    0.957505	2	1.42078e-302	           1	2	7.29579e-304	   0.0424949	1.34783e-302	    0.957505
2	Yes	    0.973089	   0.0269111	1	1.70854e-302	           1	2	1.67066e-302	    0.973089	3.78811e-304	   0.0269111
2	No	    0.973089	   0.0269111	1	1.70854e-302	           1	2	1.67066e-302	    0.973089	3.78811e-304	   0.0269111
2	No	    0.973089	   0.0269111	1	1.70854e-302	           1	2	1.67066e-302	    0.973089	3.78811e-304	   0.0269111
2	Yes	    0.973089	   0.0269111	1	1.70854e-302	           1	2	1.67066e-302	    0.973089	3.78811e-304	   0.0269111
2	NA	    0.973169	   0.0268314	1	   0.0167984	    0.983202	2	    0.016426	    0.956743	 0.000372448	    0.026459
1	No	   0.0424949	    0.957505	2	1.42078e-302	           1	2	7.29579e-304	   0.0424949	1.34783e-302	    0.957505
2	No	    0.973089	   0.0269111	1	1.70854e-302	           1	2	1.67066e-302	    0.973089	3.78811e-304	   0.0269111
1	No	   0.0424949	    0.957505	2	1.42078e-302	           1	2	7.29579e-304	   0.0424949	1.34783e-302	    0.957505
1	Yes	   0.0424949	    0.957505	2	1.42078e-302	           1	2	7.29579e-304	   0.0424949	1.34783e-302	    0.957505
2	Yes	    0.973089	   0.0269111	1	1.70854e-302	           1	2	1.67066e-302	    0.973089	3.78811e-304	   0.0269111
1	NA	   0.0426189	    0.957381	2	   0.0140088	    0.985991	2	 0.000719358	   0.0418996	   0.0132894	    0.944092
2	Yes	    0.973089	   0.0269111	1	1.70854e-302	           1	2	1.67066e-302	    0.973089	3.78811e-304	   0.0269111
1	Yes	   0.0424949	    0.957505	2	1.42078e-302	           1	2	7.29579e-304	   0.0424949	1.34783e-302	    0.957505
1	Yes	   0.0424949	    0.957505	2	1.42078e-302	           1	2	7.29579e-304	   0.0424949	1.34783e-302	    0.957505
2	Yes	    0.973089	   0.0269111	1	1.70854e-302	           1	2	1.67066e-302	    0.973089	3.78811e-304	   0.0269111
1	Yes	   0.0424949	    0.957505	2	1.42078e-302	           1	2	7.29579e-304	   0.0424949	1.34783e-302	    0.957505
2	NA	    0.973169	   0.0268314	1	   0.0167984	    0.983202	2	    0.016426	    0.956743	 0.000372448	    0.026459
1	No	   0.0424949	    0.957505	2	1.42078e-302	           1	2	7.29579e-304	   0.0424949	1.34783e-302	    0.957505
1	No	   0.0424949	    0.957505	2	1.42078e-302	           1	2	7.29579e-304	   0.0424949	1.34783e-302	    0.957505
1	NA	   0.0426189	    0.957381	2	   0.0140088	    0.985991	2	 0.000719358	   0.0418996	   0.0132894	    0.944092
