ST006Q04TA ST008Q04TA V1 1 2 imp
Yes Yes 1 0.999995699642968 0.00000430035703193538 1
No No 1 0.993308120969143 0.00669187903085654 1
Yes No 1 1 0 1
Yes Yes 1 0.47907378778612 0.520926212213879 1
No Yes 1 0.000293004320268897 0.999706995679731 2
No No 1 0.0000751913122214921 0.999924808687778 2
Yes Yes 1 0.00174004685597625 0.998259953144024 2
NA NA 1 0.00000039594179707532 0.999999604058203 2
No No 1 0.992446621953822 0.00755337804617798 1
No No 1 0.009068744087661 0.990931255912339 2
No No 1 1 0 1
Yes No 1 0.999978357257899 0.0000216427421014 1
Yes Yes 1 0.00103667741791675 0.998963322582083 2
NA NA 1 0.999680575651058 0.000319424348941591 1
Yes No 1 0.00645416381572459 0.993545836184275 2
Yes Yes 1 1 0 1
Yes Yes 1 0.999999105814542 0.000000894185458349591 1
Yes Yes 1 0 1 2
Yes NA 1 0.995667226755361 0.00433277324463921 1
NA NA 1 0.744706117418216 0.255293882581784 1
No Yes 1 0.938669495743957 0.0613305042560433 1
No No 1 1 0 1
NA NA 1 0.999995566688894 0.00000443331110568898 1
No NA 1 1 0 1
No No 1 0.247944338801511 0.752055661198489 2
No No 1 0.00000741691282387697 0.999992583087176 2
NA NA 1 0.999214629913822 0.000785370086177754 1
No Yes 1 0.680230074726222 0.319769925273778 1
Yes Yes 1 0.999954120859465 0.0000458791405347689 1
No No 1 0.000000364867073443086 0.999999635132927 2
Yes Yes 1 0.00726608753407752 0.992733912465923 2
Yes No 1 0.999735923233421 0.000264076766579243 1
Yes No 1 0.464544760353791 0.535455239646209 2
Yes No 1 1 0 1
Yes Yes 1 1 0 1
NA Yes 1 1 0 1
NA NA 1 0.999999968726239 0.0000000312737605957458 1
No NA 1 0.000045512261453767 0.999954487738546 2
No NA 1 0.996294855583119 0.00370514441688051 1
No Yes 1 0.000145763839160152 0.99985423616084 2
Yes Yes 1 0.0499187238841296 0.95008127611587 2
No NA 1 1 0 1
No No 1 0.938930803394341 0.0610691966056592 1
NA Yes 1 0.00410738569988594 0.995892614300114 2
No Yes 1 1 0 1
Yes NA 1 1 0 1
Yes Yes 1 0.996247121994212 0.00375287800578784 1
Yes Yes 1 0.224915671217797 0.775084328782203 2
No NA 1 0.495524490933423 0.504475509066577 1
No No 1 0.999019311511989 0.000980688488011183 1
No No 1 0.00183188895921297 0.998168111040787 2
No Yes 1 0.000853296422489617 0.99914670357751 2
Yes No 1 0.510446922974497 0.489553077025503 2
Yes No 1 0.114587687584593 0.885412312415407 2
No Yes 1 0.000426020325010603 0.999573979674989 2
NA NA 1 0.00481630064253218 0.995183699357468 2
No No 1 0.0000168673890035792 0.999983132610996 2
NA Yes 1 1 0 1
Yes Yes 1 1 0 1
No No 1 0 1 2
Yes Yes 1 1 0 1
Yes Yes 1 0.0000766755261179093 0.999923324473882 2
No Yes 1 0.000411252011067998 0.999588747988932 2
Yes Yes 1 0.99953955390573 0.00046044609426978 1
Yes Yes 1 0.997939893732545 0.0020601062674546 1
Yes Yes 1 0.999774914734756 0.000225085265244345 1
No No 1 0 1 2
Yes No 1 0.975081399615552 0.0249186003844478 1
Yes Yes 1 0.0000127051774183335 0.999987294822582 2
No No 1 0 1 2
No No 1 0.283473300731026 0.716526699268974 1
No No 1 0 1 2
No Yes 1 0.998466711430515 0.00153328856948514 1
No Yes 1 0.00000156605344156775 0.999998433946558 2
Yes Yes 1 1 0 1
Yes Yes 1 0.999162953163844 0.000837046836155646 1
Yes No 1 0 1 2
Yes No 1 0 1 2
Yes No 1 0 1 2
Yes Yes 1 1 0 1
No No 1 0 1 2
Yes NA 1 1 0 1
No No 1 0.993454537308198 0.00654546269180213 1
No No 1 0.000000585184879026163 0.999999414815121 2
No No 1 0 1 2
Yes No 1 0 1 2
Yes NA 1 0.00236911373415507 0.997630886265845 2
