imp	ST006Q04TA	theta#1	theta#2	theta#	LATENTST006Q04TA#1	LATENTST006Q04TA#2	LATENTST006Q04TA#	jf0_1_1	jf0_1_2	jf0_2_1	jf0_2_2
1	Yes	   0.0440147	    0.955985	2	1.53805e-302	           1	2	6.85357e-304	   0.0440147	1.46952e-302	    0.955985
1	No	   0.0440147	    0.955985	2	1.53805e-302	           1	2	6.85357e-304	   0.0440147	1.46952e-302	    0.955985
1	Yes	   0.0440147	    0.955985	2	1.53805e-302	           1	2	6.85357e-304	   0.0440147	1.46952e-302	    0.955985
1	Yes	   0.0440147	    0.955985	2	1.53805e-302	           1	2	6.85357e-304	   0.0440147	1.46952e-302	    0.955985
2	No	    0.988969	   0.0110311	1	1.55689e-302	           1	2	1.53993e-302	    0.988969	1.69568e-304	   0.0110311
2	No	    0.988969	   0.0110311	1	1.55689e-302	           1	2	1.53993e-302	    0.988969	1.69568e-304	   0.0110311
2	Yes	    0.988969	   0.0110311	1	1.55689e-302	           1	2	1.53993e-302	    0.988969	1.69568e-304	   0.0110311
2	NA	    0.988971	    0.011029	1	   0.0153302	     0.98467	2	   0.0151632	    0.973808	 0.000166968	    0.010862
1	No	   0.0440147	    0.955985	2	1.53805e-302	           1	2	6.85357e-304	   0.0440147	1.46952e-302	    0.955985
2	No	    0.988969	   0.0110311	1	1.55689e-302	           1	2	1.53993e-302	    0.988969	1.69568e-304	   0.0110311
1	No	   0.0440147	    0.955985	2	1.53805e-302	           1	2	6.85357e-304	   0.0440147	1.46952e-302	    0.955985
1	Yes	   0.0440147	    0.955985	2	1.53805e-302	           1	2	6.85357e-304	   0.0440147	1.46952e-302	    0.955985
2	Yes	    0.988969	   0.0110311	1	1.55689e-302	           1	2	1.53993e-302	    0.988969	1.69568e-304	   0.0110311
1	NA	    0.044023	    0.955977	2	   0.0151476	    0.984852	2	 0.000674975	    0.043348	   0.0144726	    0.941504
2	Yes	    0.988969	   0.0110311	1	1.55689e-302	           1	2	1.53993e-302	    0.988969	1.69568e-304	   0.0110311
1	Yes	   0.0440147	    0.955985	2	1.53805e-302	           1	2	6.85357e-304	   0.0440147	1.46952e-302	    0.955985
1	Yes	   0.0440147	    0.955985	2	1.53805e-302	           1	2	6.85357e-304	   0.0440147	1.46952e-302	    0.955985
2	Yes	    0.988969	   0.0110311	1	1.55689e-302	           1	2	1.53993e-302	    0.988969	1.69568e-304	   0.0110311
1	Yes	   0.0440147	    0.955985	2	1.53805e-302	           1	2	6.85357e-304	   0.0440147	1.46952e-302	    0.955985
2	NA	    0.988971	    0.011029	1	   0.0153302	     0.98467	2	   0.0151632	    0.973808	 0.000166968	    0.010862
1	No	   0.0440147	    0.955985	2	1.53805e-302	           1	2	6.85357e-304	   0.0440147	1.46952e-302	    0.955985
1	No	   0.0440147	    0.955985	2	1.53805e-302	           1	2	6.85357e-304	   0.0440147	1.46952e-302	    0.955985
1	NA	    0.044023	    0.955977	2	   0.0151476	    0.984852	2	 0.000674975	    0.043348	   0.0144726	    0.941504
1	No	   0.0440147	    0.955985	2	1.53805e-302	           1	2	6.85357e-304	   0.0440147	1.46952e-302	    0.955985
2	No	    0.988969	   0.0110311	1	1.55689e-302	           1	2	1.53993e-302	    0.988969	1.69568e-304	   0.0110311
2	No	    0.988969	   0.0110311	1	1.55689e-302	           1	2	1.53993e-302	    0.988969	1.69568e-304	   0.0110311
1	NA	    0.044023	    0.955977	2	   0.0151476	    0.984852	2	 0.000674975	    0.043348	   0.0144726	    0.941504
1	No	   0.0440147	    0.955985	2	1.53805e-302	           1	2	6.85357e-304	   0.0440147	1.46952e-302	    0.955985
1	Yes	   0.0440147	    0.955985	2	1.53805e-302	           1	2	6.85357e-304	   0.0440147	1.46952e-302	    0.955985
2	No	    0.988969	   0.0110311	1	1.55689e-302	           1	2	1.53993e-302	    0.988969	1.69568e-304	   0.0110311
2	Yes	    0.988969	   0.0110311	1	1.55689e-302	           1	2	1.53993e-302	    0.988969	1.69568e-304	   0.0110311
1	Yes	   0.0440147	    0.955985	2	1.53805e-302	           1	2	6.85357e-304	   0.0440147	1.46952e-302	    0.955985
2	Yes	    0.988969	   0.0110311	1	1.55689e-302	           1	2	1.53993e-302	    0.988969	1.69568e-304	   0.0110311
1	Yes	   0.0440147	    0.955985	2	1.53805e-302	           1	2	6.85357e-304	   0.0440147	1.46952e-302	    0.955985
1	Yes	   0.0440147	    0.955985	2	1.53805e-302	           1	2	6.85357e-304	   0.0440147	1.46952e-302	    0.955985
1	NA	    0.044023	    0.955977	2	   0.0151476	    0.984852	2	 0.000674975	    0.043348	   0.0144726	    0.941504
1	NA	    0.044023	    0.955977	2	   0.0151476	    0.984852	2	 0.000674975	    0.043348	   0.0144726	    0.941504
2	No	    0.988969	   0.0110311	1	1.55689e-302	           1	2	1.53993e-302	    0.988969	1.69568e-304	   0.0110311
1	No	   0.0440147	    0.955985	2	1.53805e-302	           1	2	6.85357e-304	   0.0440147	1.46952e-302	    0.955985
2	No	    0.988969	   0.0110311	1	1.55689e-302	           1	2	1.53993e-302	    0.988969	1.69568e-304	   0.0110311
2	Yes	    0.988969	   0.0110311	1	1.55689e-302	           1	2	1.53993e-302	    0.988969	1.69568e-304	   0.0110311
1	No	   0.0440147	    0.955985	2	1.53805e-302	           1	2	6.85357e-304	   0.0440147	1.46952e-302	    0.955985
