ST006Q04TA ST008Q04TA V1 1 2 imp
Yes Yes 1 0.00000942372486319798 0.999990576275137 1
No No 1 0.0567342106933649 0.943265789306635 1
Yes No 1 0 1 1
Yes Yes 1 0.299388246794484 0.700611753205516 2
No Yes 1 0.999000572923316 0.000999427076683424 2
No No 1 0.999965512831195 0.0000344871688052126 2
Yes Yes 1 0.997527783413144 0.00247221658685629 2
NA NA 1 0.999999872950309 0.0000001270496906079 2
No No 1 0.118953360868654 0.881046639131346 1
No No 1 0.997258196667413 0.00274180333258733 2
No No 1 0 1 1
Yes No 1 0.000108375086146148 0.999891624913854 1
Yes Yes 1 0.999304542030342 0.00069545796965757 2
NA NA 1 0.00127087853317007 0.99872912146683 1
Yes No 1 0.999995383949179 0.00000461605082116121 2
Yes Yes 1 0 1 1
Yes Yes 1 0.00000609102600352998 0.999993908973997 1
Yes Yes 1 1 0 2
Yes NA 1 0.00533242070631596 0.994667579293684 1
NA NA 1 0.929030190722076 0.0709698092779241 2
No Yes 1 0.183015193865589 0.816984806134411 1
No No 1 0 1 1
NA NA 1 0.000375700658462589 0.999624299341537 1
No NA 1 0 1 1
No No 1 0.845763174821559 0.154236825178441 2
No No 1 0.999997817982665 0.00000218201733479181 2
NA NA 1 0.00418640476016657 0.995813595239833 1
No Yes 1 0.0527953270701147 0.947204672929885 1
Yes Yes 1 0.00133872123026347 0.998661278769737 1
No No 1 0.9999941244385 0.00000587556149990014 2
Yes Yes 1 0.992709013570457 0.00729098642954329 2
Yes No 1 0.00208333158236931 0.997916668417631 1
Yes No 1 0.994694724675238 0.00530527532476205 2
Yes No 1 0 1 1
Yes Yes 1 0 1 1
NA Yes 1 0 1 1
NA NA 1 0.00000292769928790986 0.999997072300712 1
No NA 1 0.999946698861845 0.0000533011381547538 2
No NA 1 0.00197133981599643 0.998028660184004 1
No Yes 1 0.999894405782999 0.000105594217000698 2
Yes Yes 1 0.887523838720356 0.112476161279644 2
No NA 1 0 1 1
No No 1 0.0455176282116584 0.954482371788342 1
NA Yes 1 0.998564075322778 0.00143592467722232 2
No Yes 1 0 1 1
Yes NA 1 0 1 1
Yes Yes 1 0.0489537770611204 0.95104622293888 1
Yes Yes 1 0.945345691860613 0.0546543081393868 2
No NA 1 0.784054084641199 0.215945915358801 1
No No 1 0.00112687241054784 0.998873127589452 1
No No 1 0.998876910332371 0.00112308966762938 2
No Yes 1 0.995309403977135 0.00469059602286481 2
Yes No 1 0.997925936334787 0.00207406366521305 2
Yes No 1 0.999366910144031 0.000633089855969036 2
No Yes 1 0.994411579572744 0.00558842042725602 2
NA NA 1 0.997393478126611 0.00260652187338873 2
No No 1 0.999831358659713 0.000168641340287465 2
NA Yes 1 0 1 1
Yes Yes 1 0 1 1
No No 1 1 0 2
Yes Yes 1 0 1 1
Yes Yes 1 0.999438879605018 0.000561120394982516 2
No Yes 1 0.997303807088615 0.00269619291138513 2
Yes Yes 1 0.00179299219885833 0.998207007801142 1
Yes Yes 1 0.0480668498595413 0.951933150140459 1
Yes Yes 1 0.000731484869078213 0.999268515130922 1
No No 1 1 0 2
Yes No 1 0.0170277112165144 0.982972288783486 1
Yes Yes 1 0.999997756246406 0.00000224375359439671 2
No No 1 1 0 2
No No 1 0.997902656325409 0.00209734367459097 2
No No 1 1 0 2
No Yes 1 0.00165427701847391 0.998345722981526 1
No Yes 1 0.999999526310728 0.000000473689271727176 2
Yes Yes 1 0 1 1
Yes Yes 1 0.0152395161550226 0.984760483844977 1
Yes No 1 1 0 2
Yes No 1 1 0 2
Yes No 1 1 0 2
Yes Yes 1 0 1 1
No No 1 1 0 2
Yes NA 1 0 1 1
No No 1 0.0493871461427556 0.950612853857244 1
No No 1 0.999999221991046 0.000000778008953607032 2
No No 1 0 1 1
Yes No 1 1 0 2
Yes NA 1 0.94156243300173 0.05843756699827 2
Yes NA 1 0 1 1
No NA 1 0 1 1
Yes No 1 0.996635561729419 0.00336443827058081 2
Yes No 1 0.00459257717364748 0.995407422826353 1
Yes Yes 1 0 1 1
Yes NA 1 0.00013891701015389 0.999861082989846 1
NA Yes 1 0.998922766424185 0.00107723357581459 2
No No 1 0.999999725799954 0.000000274200045638098 2
Yes Yes 1 0.85262699001668 0.14737300998332 1
NA NA 1 0 1 1
Yes Yes 1 0 1 1
No No 1 0.999999607226221 0.000000392773778827125 2
Yes Yes 1 0 1 1
No Yes 1 0.9999998675573 0.000000132442700078148 2
Yes No 1 0.996387862474253 0.00361213752574671 2
Yes Yes 1 0.0000204333577177028 0.999979566642282 1
No No 1 0.0655692814140453 0.934430718585955 1
NA NA 1 0.994123896732652 0.00587610326734843 2
No NA 1 0.998892290357052 0.00110770964294783 2
Yes Yes 1 1 0 2
Yes No 1 0.435579464015714 0.564420535984286 1
No Yes 1 0.996146650528856 0.00385334947114385 2
Yes Yes 1 0 1 1
Yes No 1 0.5 0.5 2
No No 1 0.923576793905268 0.0764232060947318 2
No No 1 0 1 1
Yes Yes 1 0.000560273113477693 0.999439726886522 1
Yes Yes 1 0 1 1
No No 1 0.999994053723983 0.00000594627601753404 2
Yes Yes 1 0.0536327755327053 0.946367224467295 1
Yes Yes 1 0 1 1
Yes Yes 1 0.00030318201185508 0.999696817988145 1
Yes Yes 1 0.0001416134027888 0.999858386597211 1
Yes No 1 0.000136654741761463 0.999863345258239 1
No No 1 1 0 2
No No 1 1 0 2
No No 1 0.999999416613742 0.000000583386258405862 2
Yes NA 1 0 1 1
No No 1 0 1 1
No Yes 1 0 1 1
Yes Yes 1 0.036332823625319 0.963667176374681 1
No No 1 0.00221103528596095 0.997788964714039 1
Yes Yes 1 0.00143550990072707 0.998564490099273 1
Yes Yes 1 0.999979181750675 0.0000208182493248234 2
Yes No 1 0 1 1
No Yes 1 0.999999789209821 0.000000210790178595673 2
No Yes 1 0 1 1
NA NA 1 0.999971907883991 0.000028092116009183 2
Yes No 1 0.878699078432322 0.121300921567678 2
Yes Yes 1 0.971043852289459 0.0289561477105412 2
No No 1 0.983456634891251 0.0165433651087493 2
Yes NA 1 0.000172062671672356 0.999827937328328 1
NA NA 1 0.999328053368762 0.000671946631237549 2
Yes No 1 0 1 1
