CM033Q01S CM474Q01S CM155Q01S CM155Q04S CM411Q01S CM411Q02S CM803Q01S CM442Q02S DM462Q01C CM034Q01S CM305Q01S CM496Q01S CM496Q02S CM423Q01S DM406Q01C DM406Q02C CM603Q01S CM571Q01S CM564Q01S CM564Q02S ST006Q04TA ST008Q04TA V1 b1 b2 b3 b4 b5
Fullcredit Fullcredit Fullcredit Fullcredit Nocredit Nocredit Nocredit Nocredit 01-Nocredit Fullcredit Nocredit Nocredit Fullcredit Fullcredit 0-Nocredit 0-Nocredit Fullcredit Fullcredit Fullcredit Fullcredit Yes Yes 1 1 0 6 0 0
Fullcredit Fullcredit Nocredit Fullcredit Fullcredit Nocredit Nocredit Nocredit 01-Nocredit Fullcredit Nocredit Nocredit Nocredit Fullcredit 0-Nocredit 0-Nocredit Nocredit Fullcredit Fullcredit Fullcredit No NA 1 0 1 0 1 2
Fullcredit Nocredit Nocredit Nocredit Fullcredit Fullcredit Nocredit Nocredit 01-Nocredit Nocredit Nocredit Nocredit Fullcredit Fullcredit 0-Nocredit 0-Nocredit Nocredit Nocredit Nocredit Nocredit No No 1 2 3 0 0 0
Fullcredit Fullcredit Nocredit Fullcredit Fullcredit Nocredit Nocredit Nocredit 01-Nocredit Fullcredit Nocredit Fullcredit Fullcredit Fullcredit 0-Nocredit 0-Nocredit Nocredit Fullcredit Fullcredit Fullcredit No No 1 0 2 3 2 1
Fullcredit Fullcredit Nocredit Fullcredit Fullcredit Nocredit Fullcredit Nocredit 01-Nocredit Fullcredit Nocredit Fullcredit Fullcredit Fullcredit 0-Nocredit 0-Nocredit Fullcredit Nocredit Fullcredit Fullcredit No Yes 1 1 0 1 0 1
Fullcredit Fullcredit Fullcredit Nocredit Fullcredit Fullcredit Fullcredit Nocredit 01-Nocredit Fullcredit Nocredit Nocredit Fullcredit Nocredit NA NA Nocredit Fullcredit Fullcredit Nocredit Yes No 1 2 0 0 2 0
Fullcredit Fullcredit Fullcredit Nocredit Fullcredit Nocredit Nocredit Fullcredit 01-Nocredit Fullcredit Nocredit Nocredit Nocredit Fullcredit 0-Nocredit 0-Nocredit Nocredit Fullcredit Fullcredit Fullcredit Yes No 1 0 4 2 1 0
Fullcredit Fullcredit Fullcredit Nocredit Fullcredit Fullcredit Fullcredit Nocredit 01-Nocredit Fullcredit Fullcredit Fullcredit Nocredit Fullcredit 1-Fullcredit 0-Nocredit Nocredit Nocredit Nocredit Fullcredit No Yes 1 1 1 2 2 4
Fullcredit Nocredit Fullcredit Nocredit Fullcredit Fullcredit Fullcredit Nocredit 02-Nocredit Fullcredit Fullcredit Nocredit Nocredit Fullcredit 1-Fullcredit 0-Nocredit Nocredit Fullcredit Fullcredit Nocredit NA NA 1 0 3 0 1 1
Fullcredit Fullcredit Fullcredit Fullcredit Nocredit Fullcredit Fullcredit Nocredit 01-Nocredit Nocredit Nocredit Fullcredit Fullcredit Fullcredit 1-Fullcredit 0-Nocredit Fullcredit Fullcredit Fullcredit Fullcredit No No 1 0 1 1 1 2
Nocredit Fullcredit Fullcredit Fullcredit Nocredit Nocredit Nocredit Nocredit 01-Nocredit NA Nocredit Nocredit Nocredit Nocredit NA NA NA NA NA Fullcredit NA Yes 1 2 1 1 1 2
Nocredit Fullcredit Fullcredit Nocredit Fullcredit Fullcredit Nocredit Fullcredit 01-Nocredit Nocredit Nocredit Fullcredit Fullcredit Nocredit 0-Nocredit 0-Nocredit Fullcredit Nocredit Fullcredit Nocredit Yes Yes 1 2 1 1 0 1
Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit 02-Nocredit Fullcredit Nocredit Fullcredit Fullcredit Fullcredit 1-Fullcredit 1-Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit No No 1 1 0 1 0 3
Nocredit Fullcredit Fullcredit Nocredit Fullcredit Fullcredit Nocredit Nocredit 02-Nocredit Nocredit Fullcredit Nocredit Nocredit Nocredit 0-Nocredit 0-Nocredit Nocredit Nocredit Nocredit Fullcredit Yes Yes 1 1 1 3 2 0
Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit Nocredit 02-Nocredit Fullcredit Nocredit Fullcredit Fullcredit Fullcredit 0-Nocredit NA Fullcredit Nocredit Fullcredit Fullcredit Yes Yes 1 0 0 1 0 2
Fullcredit Fullcredit Fullcredit Nocredit Fullcredit Fullcredit Nocredit Fullcredit 01-Nocredit Nocredit Nocredit Fullcredit Fullcredit Fullcredit 1-Fullcredit 0-Nocredit Nocredit Nocredit Fullcredit Fullcredit No Yes 1 1 3 0 2 2
Fullcredit Fullcredit Fullcredit Nocredit Nocredit Nocredit Fullcredit Nocredit 01-Nocredit Nocredit Nocredit Nocredit Nocredit Fullcredit 0-Nocredit 0-Nocredit Nocredit Nocredit Fullcredit Fullcredit Yes Yes 1 0 1 1 0 2
Fullcredit Fullcredit Fullcredit Nocredit Nocredit Nocredit Nocredit Nocredit 01-Nocredit Fullcredit Fullcredit Nocredit Nocredit Fullcredit NA NA Nocredit Nocredit Fullcredit Fullcredit Yes Yes 1 2 1 0 1 0
Fullcredit Nocredit Nocredit Nocredit Nocredit Nocredit Nocredit Nocredit 01-Nocredit Fullcredit Nocredit Nocredit Fullcredit Fullcredit 0-Nocredit 0-Nocredit Nocredit Nocredit Nocredit Fullcredit Yes Yes 1 1 1 1 3 0
Fullcredit Fullcredit Fullcredit Nocredit Fullcredit Fullcredit Fullcredit Fullcredit 12-Partialcredit Nocredit Fullcredit Fullcredit Fullcredit Fullcredit 1-Fullcredit 1-Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit No No 1 2 2 1 0 0
Fullcredit Fullcredit Nocredit Fullcredit Nocredit Nocredit Nocredit Nocredit 01-Nocredit Nocredit Nocredit Fullcredit Fullcredit Fullcredit 0-Nocredit 0-Nocredit Nocredit Nocredit Fullcredit Fullcredit Yes No 1 2 1 4 0 0
Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit 01-Nocredit Fullcredit Nocredit Fullcredit Fullcredit Fullcredit 0-Nocredit 0-Nocredit Nocredit Fullcredit Nocredit Fullcredit Yes Yes 1 2 0 1 1 2
Fullcredit Nocredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit 12-Partialcredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit 0-Nocredit 1-Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit No No 1 1 0 0 1 0
Fullcredit Nocredit Fullcredit Nocredit Fullcredit Fullcredit Nocredit NA NA Fullcredit Nocredit Fullcredit Nocredit Fullcredit NA NA Nocredit Fullcredit Nocredit Nocredit No No 1 2 0 1 2 0
Fullcredit Nocredit Fullcredit Nocredit Fullcredit Fullcredit Fullcredit Fullcredit 21-Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit 1-Fullcredit 1-Fullcredit Nocredit Fullcredit Fullcredit Nocredit No No 1 1 1 0 3 2
Fullcredit Fullcredit Nocredit Nocredit Fullcredit Nocredit Nocredit Nocredit NA Nocredit Fullcredit Nocredit Fullcredit Fullcredit NA NA Nocredit Nocredit Nocredit Fullcredit No Yes 1 1 0 3 0 2
Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit NA Fullcredit Fullcredit Fullcredit Nocredit Fullcredit 0-Nocredit 0-Nocredit Nocredit Fullcredit Fullcredit Fullcredit No Yes 1 0 0 1 1 1
Nocredit Nocredit Fullcredit Nocredit Nocredit Nocredit Nocredit NA 02-Nocredit Fullcredit Fullcredit Nocredit Nocredit Fullcredit 0-Nocredit 0-Nocredit Nocredit Nocredit Nocredit Nocredit Yes Yes 1 1 1 0 1 1
Fullcredit Fullcredit Fullcredit Nocredit Nocredit Nocredit Nocredit Nocredit NA Nocredit Nocredit Nocredit Fullcredit Fullcredit 0-Nocredit 0-Nocredit Nocredit Fullcredit Fullcredit Nocredit Yes Yes 1 0 0 1 0 0
Fullcredit Nocredit Fullcredit Fullcredit Fullcredit Fullcredit Nocredit Fullcredit 21-Fullcredit Fullcredit Nocredit Fullcredit Fullcredit Fullcredit 0-Nocredit 0-Nocredit Fullcredit Fullcredit Fullcredit Nocredit Yes No 1 1 2 4 4 0
Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit 01-Nocredit Fullcredit Nocredit Nocredit Fullcredit Fullcredit 0-Nocredit 1-Fullcredit Fullcredit Fullcredit Fullcredit Nocredit Yes No 1 1 1 1 0 3
Fullcredit Nocredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit 02-Nocredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit 1-Fullcredit 1-Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit Yes No 1 0 1 1 0 1
Nocredit Fullcredit Fullcredit Fullcredit Nocredit Fullcredit Nocredit Nocredit 01-Nocredit Nocredit Nocredit Fullcredit Fullcredit Fullcredit NA NA Nocredit Nocredit Fullcredit Fullcredit Yes Yes 1 0 2 0 1 2
Fullcredit Nocredit Fullcredit Fullcredit Fullcredit Fullcredit Nocredit Fullcredit 01-Nocredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit 1-Fullcredit 1-Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit No No 1 0 3 2 2 1
Nocredit Nocredit NA NA NA Nocredit Nocredit Nocredit NA Nocredit Nocredit NA NA NA NA NA Nocredit Nocredit Nocredit Nocredit Yes NA 1 1 0 0 1 1
Fullcredit Fullcredit Fullcredit Nocredit Nocredit Nocredit Nocredit Nocredit 01-Nocredit Fullcredit Fullcredit Nocredit Nocredit Nocredit 0-Nocredit 0-Nocredit Fullcredit Nocredit Fullcredit Fullcredit No No 1 1 3 0 1 2
Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit NA Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit 1-Fullcredit NA Nocredit Nocredit Nocredit Fullcredit No No 1 2 2 2 0 2
NA Nocredit Nocredit Nocredit Nocredit Fullcredit Nocredit Nocredit 01-Nocredit NA Fullcredit Nocredit Fullcredit Nocredit 0-Nocredit 0-Nocredit Nocredit Nocredit Nocredit Nocredit No No 1 0 1 0 0 0
Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit 21-Fullcredit Fullcredit Nocredit Nocredit Nocredit Fullcredit 0-Nocredit 0-Nocredit Fullcredit Fullcredit Fullcredit Fullcredit Yes No 1 1 0 0 1 0
Fullcredit Fullcredit Fullcredit Nocredit Fullcredit Fullcredit Nocredit Nocredit 02-Nocredit Nocredit Fullcredit Fullcredit Fullcredit Fullcredit 0-Nocredit 0-Nocredit Fullcredit Fullcredit Fullcredit Fullcredit Yes NA 1 4 1 2 0 1
Fullcredit Nocredit NA NA NA NA Nocredit NA 01-Nocredit Nocredit Fullcredit Fullcredit Nocredit Fullcredit 0-Nocredit NA Nocredit Nocredit Nocredit Nocredit Yes NA 1 2 1 0 1 1
Nocredit Nocredit NA Fullcredit Nocredit Nocredit Nocredit Nocredit 01-Nocredit Nocredit Fullcredit Nocredit Fullcredit Fullcredit 0-Nocredit 0-Nocredit Nocredit Nocredit Nocredit Fullcredit No NA 1 2 1 0 1 0
Fullcredit Nocredit Fullcredit Fullcredit Nocredit Nocredit Nocredit Fullcredit 01-Nocredit Fullcredit Nocredit Fullcredit Fullcredit Fullcredit 0-Nocredit 0-Nocredit Nocredit Nocredit Fullcredit Nocredit Yes No 1 0 1 1 3 0
Fullcredit Fullcredit Nocredit Nocredit Fullcredit Nocredit Nocredit NA 02-Nocredit Nocredit Fullcredit Fullcredit Fullcredit Fullcredit 0-Nocredit NA Nocredit Nocredit Nocredit Nocredit Yes No 1 0 3 1 1 1
Nocredit Fullcredit Nocredit Nocredit Nocredit Nocredit Nocredit Nocredit 01-Nocredit Nocredit Nocredit Nocredit Fullcredit Nocredit 0-Nocredit 0-Nocredit Nocredit Nocredit Fullcredit Nocredit Yes Yes 1 1 1 1 1 1
Fullcredit Fullcredit Fullcredit Nocredit Fullcredit Nocredit Nocredit Nocredit 01-Nocredit Nocredit Nocredit Nocredit Nocredit Fullcredit 0-Nocredit 0-Nocredit Nocredit Nocredit Nocredit Nocredit Yes NA 1 0 1 0 0 2
Fullcredit Fullcredit Fullcredit Nocredit Nocredit Fullcredit Fullcredit Nocredit 02-Nocredit Fullcredit Nocredit Fullcredit Fullcredit Fullcredit 0-Nocredit 0-Nocredit Nocredit Fullcredit Fullcredit Fullcredit NA Yes 1 1 1 2 2 1
Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit 01-Nocredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit 0-Nocredit 0-Nocredit Nocredit Fullcredit Nocredit Fullcredit No No 1 0 0 1 1 1
Fullcredit Fullcredit Fullcredit Nocredit Fullcredit Nocredit Nocredit Nocredit NA Fullcredit Nocredit Nocredit Nocredit Nocredit NA NA Fullcredit Fullcredit Fullcredit Nocredit Yes Yes 1 0 0 1 2 1
Fullcredit Fullcredit NA Nocredit NA Nocredit Nocredit Nocredit NA Nocredit Nocredit Nocredit Nocredit Fullcredit NA NA Nocredit Nocredit Fullcredit Nocredit NA NA 1 2 1 3 0 2
Nocredit Nocredit Fullcredit Nocredit Nocredit Fullcredit Nocredit Nocredit 01-Nocredit Nocredit Nocredit Nocredit Nocredit Nocredit 0-Nocredit 0-Nocredit Nocredit Nocredit Fullcredit Fullcredit Yes Yes 1 0 0 2 1 2
Fullcredit Nocredit Fullcredit Fullcredit Fullcredit Nocredit Fullcredit Fullcredit 01-Nocredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit 0-Nocredit 0-Nocredit Fullcredit Fullcredit Nocredit Fullcredit No No 1 1 2 0 2 0
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA Yes Yes 1 1 0 0 0 1
Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit NA Fullcredit Nocredit Fullcredit Nocredit Fullcredit 0-Nocredit NA Fullcredit Fullcredit Fullcredit Fullcredit No Yes 1 1 2 3 2 0
Fullcredit Nocredit Fullcredit Nocredit Fullcredit Fullcredit Fullcredit Nocredit NA Fullcredit Nocredit Nocredit Nocredit Fullcredit 0-Nocredit NA Nocredit Fullcredit Fullcredit Nocredit Yes No 1 0 1 1 0 2
