ST006Q04TA ST008Q04TA V1 1 2 imp
Yes Yes 1 0.0000075740333702763 0.99999242596663 1
No No 1 0.0224959062404039 0.977504093759596 1
Yes No 1 0 1 1
Yes Yes 1 0.387055314391717 0.612944685608283 1
No Yes 1 0.999489434346539 0.000510565653461412 2
No No 1 0.999895184429706 0.000104815570294256 2
Yes Yes 1 0.990550223568045 0.00944977643195448 2
NA NA 1 0.999999841026618 0.000000158973381887742 2
No No 1 0.0986032714899919 0.901396728510008 1
No No 1 0.998812195854766 0.00118780414523393 2
No No 1 0.0000140824096343118 0.999985917590366 1
Yes No 1 0.0000683837348352772 0.999931616265165 1
Yes Yes 1 0.998984706716606 0.00101529328339403 2
NA NA 1 0.0000588972079756988 0.999941102792024 1
Yes No 1 0.999985479092292 0.0000145209077076995 2
Yes Yes 1 0 1 1
Yes Yes 1 0.00000718781061034444 0.99999281218939 1
Yes Yes 1 1 0 2
Yes NA 1 0.00279938447422397 0.997200615525776 1
NA NA 1 0.921503147892937 0.0784968521070627 2
No Yes 1 0.122141012857088 0.877858987142912 1
No No 1 0.00101891793919972 0.9989810820608 1
NA NA 1 0.0000203119466690958 0.999979688053331 1
No NA 1 0 1 1
No No 1 0.963465636085076 0.0365343639149239 2
No No 1 0.999993159480162 0.0000068405198375284 2
NA NA 1 0.00297873129178287 0.997021268708217 1
No Yes 1 0.314998039729793 0.685001960270207 1
Yes Yes 1 0.00032191497808068 0.999678085021919 1
No No 1 1 0 2
Yes Yes 1 0.968680499499378 0.0313195005006222 2
Yes No 1 0.00616429132511065 0.993835708674889 1
Yes No 1 0.95860320339567 0.0413967966043303 2
Yes No 1 0.000101333439870459 0.999898666560129 1
Yes Yes 1 0.00000157964421148021 0.999998420355789 1
NA Yes 1 0 1 1
NA NA 1 0.00000238556503443476 0.999997614434966 1
No NA 1 0.999867821844807 0.000132178155192509 2
No NA 1 0.0105004755089634 0.989499524491037 1
No Yes 1 0.999958990820035 0.0000410091799649754 2
Yes Yes 1 0.982413211067411 0.0175867889325886 2
No NA 1 0.0000424148163542296 0.999957585183646 1
No No 1 0.0543349770546143 0.945665022945386 1
NA Yes 1 0.99839596402406 0.00160403597594053 2
No Yes 1 1 0 2
Yes NA 1 0.00703901004544924 0.992960989954551 1
Yes Yes 1 0.0161598340156887 0.983840165984311 1
Yes Yes 1 0.973369194202222 0.0266308057977778 2
No NA 1 0.952941687813089 0.0470583121869112 2
No No 1 0.00204329936581661 0.997956700634183 1
No No 1 0.999579464127677 0.000420535872323195 2
No Yes 1 0.998147759319806 0.00185224068019397 2
Yes No 1 0.96042178241667 0.0395782175833296 2
Yes No 1 0.999013169934741 0.000986830065259202 2
No Yes 1 1 0 2
NA NA 1 1 0 2
No No 1 1 0 2
NA Yes 1 0 1 1
Yes Yes 1 0.118303869715926 0.881696130284074 1
No No 1 1 0 2
Yes Yes 1 0.0000174414085418677 0.999982558591458 1
Yes Yes 1 0.999246702268649 0.000753297731351038 2
No Yes 1 1 0 2
Yes Yes 1 0.00487400863224961 0.99512599136775 1
Yes Yes 1 0.0127970335213575 0.987202966478642 1
Yes Yes 1 0.0010478992853187 0.998952100714681 1
No No 1 1 0 2
Yes No 1 0.033331724497109 0.966668275502891 1
Yes Yes 1 0.999990708886002 0.00000929111399851262 2
No No 1 1 0 2
No No 1 0.863542187371822 0.136457812628178 2
No No 1 1 0 2
No Yes 1 0.002064615163705 0.997935384836295 1
No Yes 1 0.999999641874922 0.000000358125077940658 2
Yes Yes 1 0.00000228740925211889 0.999997712590748 1
Yes Yes 1 0.030141092429972 0.969858907570028 1
Yes No 1 1 0 2
Yes No 1 1 0 2
Yes No 1 1 0 2
Yes Yes 1 0.00252188530094192 0.997478114699058 1
No No 1 1 0 2
Yes NA 1 0 1 1
No No 1 0.142976553882832 0.857023446117168 1
No No 1 1 0 2
No No 1 0 1 1
Yes No 1 1 0 2
Yes NA 1 0.995717426712823 0.00428257328717676 2
Yes NA 1 0 1 1
No NA 1 0 1 1
Yes No 1 0.959355167435779 0.0406448325642206 2
Yes No 1 0.000683391371920768 0.999316608628079 1
Yes Yes 1 0.000000471978898402653 0.999999528021101 1
Yes NA 1 0.000082132398336946 0.999917867601663 1
NA Yes 1 0.999491409786718 0.000508590213281833 2
No No 1 0.999999246214349 0.000000753785650835968 2
Yes Yes 1 0.494788550281411 0.505211449718589 1
NA NA 1 0 1 1
Yes Yes 1 0.00000789469003166099 0.999992105309968 1
No No 1 0.999999303399092 0.000000696600907916308 2
Yes Yes 1 0 1 1
No Yes 1 0.999999822861342 0.000000177138658004465 2
Yes No 1 0.983754231290792 0.0162457687092082 2
Yes Yes 1 0.000105485345823451 0.999894514654177 1
No No 1 0.253130893891837 0.746869106108163 1
NA NA 1 0.997457391649798 0.0025426083502021 2
No NA 1 0.999170648273926 0.000829351726074003 2
Yes Yes 1 1 0 2
Yes No 1 1 0 2
No Yes 1 1 0 2
Yes Yes 1 0 1 1
Yes No 1 1 0 2
No No 1 0.890417941203441 0.109582058796559 2
No No 1 0 1 1
Yes Yes 1 0.00260397068955968 0.99739602931044 1
Yes Yes 1 0.000023714314592795 0.999976285685407 1
No No 1 0.999997729854469 0.00000227014553145402 2
Yes Yes 1 0.0648584222913773 0.935141577708623 1
Yes Yes 1 0.0000000713301962800707 0.999999928669804 1
Yes Yes 1 0.000348468356140869 0.999651531643859 1
Yes Yes 1 0.0010219722992291 0.998978027700771 1
Yes No 1 0.000199734823053078 0.999800265176947 1
No No 1 1 0 2
No No 1 1 0 2
No No 1 0.999999241302287 0.000000758697712654977 2
Yes NA 1 0.0000575135847395744 0.99994248641526 1
No No 1 0.0000142433971057198 0.999985756602894 1
No Yes 1 0.249428218884737 0.750571781115263 1
Yes Yes 1 0.0500645486775574 0.949935451322443 1
No No 1 0.00689525300174238 0.993104746998258 1
Yes Yes 1 0.00313575121359895 0.996864248786401 1
Yes Yes 1 0.999967317986248 0.0000326820137519014 2
Yes No 1 0 1 1
No Yes 1 0.999999789611173 0.000000210388826955251 2
No Yes 1 0.0000729908998305671 0.999927009100169 1
NA NA 1 0 1 1
Yes No 1 0.633346737250291 0.366653262749709 1
Yes Yes 1 0.892637290166633 0.107362709833367 2
No No 1 0.994089320822853 0.00591067917714688 2
Yes NA 1 1 0 2
NA NA 1 0.998880274269006 0.00111972573099434 2
Yes No 1 0.00349217736184497 0.996507822638155 1
