ST006Q04TA ST008Q04TA V1 1 2 imp
Yes Yes 1 0.999979770717728 0.0000202292822716259 1
No No 1 0.880604334787202 0.119395665212798 1
Yes No 1 0 1 2
Yes Yes 1 0.676603644655529 0.323396355344471 1
No Yes 1 0.000811676121386245 0.999188323878614 2
No No 1 0.000147114297660637 0.999852885702339 2
Yes Yes 1 0.00574519688242421 0.994254803117576 2
NA NA 1 0.00000229795429822484 0.999997702045702 2
No No 1 0.969727639987913 0.0302723600120873 1
No No 1 0.0299187642165423 0.970081235783458 2
No No 1 0.999960453051878 0.0000395469481220299 1
Yes No 1 0.999806881477446 0.000193118522554083 1
Yes Yes 1 0.00273258859102788 0.997267411408972 2
NA NA 1 0.997983098565178 0.00201690143482172 1
Yes No 1 0.0076908644514433 0.992309135548557 2
Yes Yes 1 0.999793746234366 0.00020625376563377 1
Yes Yes 1 0.999985640381861 0.000014359618139145 1
Yes Yes 1 0 1 2
Yes NA 1 0.983152845931004 0.0168471540689961 1
NA NA 1 0.542554825833883 0.457445174166117 2
No Yes 1 0.871347426121391 0.128652573878609 1
No No 1 0.997630189102399 0.00236981089760129 1
NA NA 1 0.999796168709891 0.000203831290108911 1
No NA 1 0.999946460381218 0.0000535396187815694 1
No No 1 0.399859847891027 0.600140152108973 2
No No 1 0.0000220882636876086 0.999977911736312 2
NA NA 1 0.995541650239527 0.00445834976047273 1
No Yes 1 0.903191201865662 0.0968087981343378 1
Yes Yes 1 0.999661217290585 0.000338782709415107 1
No No 1 0 1 2
Yes Yes 1 0.0213134455706743 0.978686554429326 2
Yes No 1 0.998138571683664 0.0018614283163356 1
Yes No 1 0.243385077282 0.756614922718 2
Yes No 1 0.999744190905975 0.000255809094025247 1
Yes Yes 1 0.99999240534793 0.00000759465206978271 1
NA Yes 1 0.99978431037471 0.000215689625290137 1
NA NA 1 0.99999715119686 0.00000284880314024696 1
No NA 1 0.000206169119734344 0.999793830880266 2
No NA 1 0.980692035034365 0.0193079649656354 1
No Yes 1 0.000278312741056598 0.999721687258943 2
Yes Yes 1 0.0591278290041638 0.940872170995836 2
No NA 1 0.999932442669075 0.0000675573309250132 1
No No 1 0.832336826319699 0.167663173680301 1
NA Yes 1 0.00495525103850499 0.995044748961495 2
No Yes 1 0 1 2
Yes NA 1 0.934343338573666 0.0656566614263342 1
Yes Yes 1 0.996205807821623 0.00379419217837737 1
Yes Yes 1 0.180228073016042 0.819771926983958 2
No NA 1 0.399579686905214 0.600420313094786 1
No No 1 0.99872432710417 0.00127567289582983 1
No No 1 0.00301294366728839 0.996987056332712 2
No Yes 1 0.00315220394348384 0.996847796056516 2
Yes No 1 0.186221694463417 0.813778305536583 1
Yes No 1 0.0838319706068856 0.916168029393114 2
No Yes 1 0 1 2
NA NA 1 0 1 2
No No 1 0 1 2
NA Yes 1 0 1 2
Yes Yes 1 0.835221644619199 0.164778355380801 1
No No 1 0 1 2
Yes Yes 1 0.999854758647726 0.000145241352273605 1
Yes Yes 1 0.000379375498036083 0.999620624501964 2
No Yes 1 0 1 2
Yes Yes 1 0.998716676335002 0.00128332366499785 1
Yes Yes 1 0.984068279216859 0.0159317207831411 1
Yes Yes 1 0.999135035052248 0.000864964947751869 1
No No 1 0 1 2
Yes No 1 0.93383636813549 0.0661636318645095 1
Yes Yes 1 0.0000542295801021983 0.999945770419898 2
No No 1 0 1 2
No No 1 0.0513148483236189 0.948685151676381 2
No No 1 0 1 2
No Yes 1 0.993004165598443 0.006995834401557 1
No Yes 1 0.00000583781162235433 0.999994162188378 2
Yes Yes 1 0.999917840963179 0.0000821590368211673 1
Yes Yes 1 0.996186526035979 0.0038134739640207 1
Yes No 1 0 1 2
Yes No 1 0 1 2
Yes No 1 0 1 2
Yes Yes 1 0.922133813161491 0.0778661868385094 1
No No 1 0 1 2
Yes NA 1 0 1 2
No No 1 0.952735061694063 0.047264938305937 1
No No 1 0 1 2
No No 1 0 1 2
Yes No 1 0 1 2
Yes NA 1 0.0130111275848839 0.986988872415116 2
Yes NA 1 0 1 2
No NA 1 0.999692149881855 0.000307850118144953 1
Yes No 1 0.0855897426807527 0.914410257319247 2
Yes No 1 0.977040218130921 0.0229597818690795 1
Yes Yes 1 0.999998402277916 0.00000159772208412275 1
Yes NA 1 0.99991653193598 0.0000834680640204102 1
NA Yes 1 0.00267704614913169 0.997322953850868 2
No No 1 0.00000446719282776389 0.999995532807172 2
Yes Yes 1 0.849284523851981 0.150715476148019 1
NA NA 1 0.999809133937579 0.000190866062421003 1
Yes Yes 1 0.999988016729443 0.000011983270556847 1
No No 1 0.0000078055642078145 0.999992194435792 2
Yes Yes 1 0 1 2
No Yes 1 0.0000028147838205735 0.999997185216179 2
Yes No 1 0.227430200565431 0.772569799434569 2
Yes Yes 1 0.999802567310592 0.000197432689408466 1
No No 1 0.928371764619585 0.0716282353804149 1
NA NA 1 0.0174471276531206 0.982552872346879 2
No NA 1 0.000543441587262953 0.999456558412737 2
Yes Yes 1 0 1 2
Yes No 1 0 1 2
No Yes 1 0 1 2
Yes Yes 1 0.999993080996217 0.00000691900378316368 1
Yes No 1 0 1 2
No No 1 0.215106167794965 0.784893832205035 1
No No 1 0.999977174391741 0.0000228256082591892 1
Yes Yes 1 0.987929463663762 0.0120705363362384 1
Yes Yes 1 0 1 2
No No 1 0.0000290679712595368 0.99997093202874 2
Yes Yes 1 0.985695815689461 0.0143041843105395 1
Yes Yes 1 0.999999274344441 0.000000725655558607481 1
Yes Yes 1 0.998535657827501 0.00146434217249921 1
Yes Yes 1 0.999912391534881 0.0000876084651189096 1
Yes No 1 0.999733704349448 0.000266295650552531 1
No No 1 0 1 2
No No 1 0 1 2
No No 1 0.0000153697690954067 0.999984630230905 2
Yes NA 1 0.996796646380497 0.00320335361950333 1
No No 1 0.999940015940419 0.0000599840595807015 1
