ST006Q04TA ST008Q04TA V1 1 2 imp
Yes Yes 1 0.0000218479482764619 0.999978152051724 1
No No 1 0.00258435644774692 0.997415643552253 1
Yes No 1 0 1 1
Yes Yes 1 0.929205643373955 0.0707943566260455 2
No Yes 1 0.999907553638445 0.0000924463615548317 2
No No 1 0.999954799564672 0.0000452004353283618 2
Yes Yes 1 0.999758250056691 0.000241749943308754 2
NA NA 1 1 0 2
No No 1 1 0 2
No No 1 1 0 2
No No 1 0.0000767458178697812 0.99992325418213 1
Yes No 1 0.000389581382370726 0.999610418617629 1
Yes Yes 1 0.999944249395901 0.0000557506040991703 2
NA NA 1 0.00390925673284731 0.996090743267153 1
Yes No 1 1 0 2
Yes Yes 1 0 1 1
Yes Yes 1 0.0000179000469129011 0.999982099953087 1
Yes Yes 1 1 0 2
Yes NA 1 0.0101397179104249 0.989860282089575 1
NA NA 1 1 0 2
No Yes 1 0.628178877662524 0.371821122337476 2
No No 1 0.0106996542703265 0.989300345729674 1
NA NA 1 0.00000612718167611783 0.999993872818324 1
No NA 1 0 1 1
No No 1 0.94012698962676 0.0598730103732399 2
No No 1 1 0 2
NA NA 1 0.00247533535896717 0.997524664641033 1
No Yes 1 0.667399970099413 0.332600029900587 1
Yes Yes 1 0.00164888609219618 0.998351113907804 1
No No 1 0.999999662567584 0.000000337432415757351 2
Yes Yes 1 1 0 2
Yes No 1 0.00340148082085088 0.996598519179149 1
Yes No 1 0.903064114954725 0.0969358850452751 2
Yes No 1 0.000607709226263151 0.999392290773737 1
Yes Yes 1 0.00000203948977755652 0.999997960510222 1
NA Yes 1 0 1 1
NA NA 1 0.000000678785018238901 0.999999321214982 1
No NA 1 1 0 2
No NA 1 0.0322644856714134 0.967735514328587 1
No Yes 1 0.999946819514854 0.0000531804851460794 2
Yes Yes 1 0.985372256863922 0.0146277431360783 2
No NA 1 0.0000215629329626748 0.999978437067037 1
No No 1 0.273089341204793 0.726910658795207 1
NA Yes 1 0.999100796448373 0.000899203551627031 2
No Yes 1 0.997670748747865 0.00232925125213478 2
Yes NA 1 0.06478477167454 0.93521522832546 1
Yes Yes 1 1 0 2
Yes Yes 1 0.995730898270879 0.00426910172912097 2
No NA 1 0.905642813803614 0.0943571861963864 2
No No 1 0.0103726562854165 0.989627343714583 1
No No 1 0.999827103736633 0.00017289626336676 2
No Yes 1 0.999818555829788 0.00018144417021175 2
Yes No 1 0.938994408308448 0.0610055916915515 2
Yes No 1 1 0 2
No Yes 1 0.999219057074817 0.000780942925182955 2
NA NA 1 0.995386654493896 0.00461334550610436 2
No No 1 0.999993906320355 0.00000609367964516424 2
NA Yes 1 0 1 1
Yes Yes 1 1 0 2
No No 1 1 0 2
Yes Yes 1 0.0000324845990950961 0.999967515400905 1
Yes Yes 1 0.999959870013706 0.000040129986294093 2
No Yes 1 1 0 2
Yes Yes 1 0.00237500509189163 0.997624994908108 1
Yes Yes 1 0.0048452256891029 0.995154774310897 1
Yes Yes 1 0.00587067742625815 0.994129322573742 1
No No 1 1 0 2
Yes No 1 0.150792150063335 0.849207849936666 1
Yes Yes 1 1 0 2
No No 1 1 0 2
No No 1 0.942519039944969 0.0574809600550312 2
No No 1 1 0 2
No Yes 1 0.000380116452806339 0.999619883547194 1
No Yes 1 1 0 2
Yes Yes 1 0.000136651306258224 0.999863348693742 1
Yes Yes 1 0.0207504142087103 0.97924958579129 1
Yes No 1 1 0 2
Yes No 1 1 0 2
Yes No 1 1 0 2
Yes Yes 1 0.0204586129880315 0.979541387011968 1
No No 1 1 0 2
Yes NA 1 0 1 1
No No 1 0.153982853681747 0.846017146318253 1
No No 1 1 0 2
No No 1 0 1 1
Yes No 1 1 0 2
Yes NA 1 0.998116598074762 0.00188340192523754 2
Yes NA 1 0 1 1
No NA 1 0 1 1
Yes No 1 1 0 2
Yes No 1 0.0201966409692898 0.97980335903071 1
Yes Yes 1 0.0000024453787655886 0.999997554621234 1
Yes NA 1 0.000116453972388214 0.999883546027612 1
NA Yes 1 0.999609907225245 0.000390092774754987 2
No No 1 1 0 2
Yes Yes 1 0.0912727553237327 0.908727244676267 1
NA NA 1 0 1 1
Yes Yes 1 0.000012310316639984 0.99998768968336 1
No No 1 1 0 2
Yes Yes 1 0 1 1
No Yes 1 1 0 2
Yes No 1 0.950599449696758 0.0494005503032424 2
Yes Yes 1 0.000045098689097895 0.999954901310902 1
No No 1 0.111313839710238 0.888686160289762 1
NA NA 1 0.997842731509053 0.0021572684909467 2
No NA 1 0.999965309381374 0.0000346906186255947 2
Yes Yes 1 1 0 2
Yes No 1 0.758366598431377 0.241633401568623 1
