ST006Q04TA ST008Q04TA V1 1 2 imp
Yes Yes 1 0.0000566115288661258 0.999943388471134 1
No No 1 0.141315107168107 0.858684892831893 1
Yes No 1 0 1 1
Yes Yes 1 0.938836304026582 0.0611636959734176 2
No Yes 1 0.999866933060182 0.000133066939817634 2
No No 1 0.999997233514517 0.00000276648548262131 2
Yes Yes 1 0.999947375337826 0.0000526246621739888 2
NA NA 1 0.999999996502409 0.0000000034975906991571 2
No No 1 0.838818587543624 0.161181412456376 2
No No 1 0.999967105158641 0.0000328948413591597 2
No No 1 0.000192250439665396 0.999807749560335 1
Yes No 1 0.000523253066219497 0.999476746933781 1
Yes Yes 1 0.999978276657907 0.0000217233420930143 2
NA NA 1 0.00713534777195752 0.992864652228043 1
Yes No 1 0.999999703189532 0.000000296810467644881 2
Yes Yes 1 0 1 1
Yes Yes 1 0.0000411497286687777 0.999958850271331 1
Yes Yes 1 1 0 2
Yes NA 1 0.0233608715745972 0.976639128425403 1
NA NA 1 0.986726305921401 0.0132736940785989 2
No Yes 1 0.709679792277925 0.290320207722075 2
No No 1 0.127622547801312 0.872377452198688 1
NA NA 1 0.00212595883685186 0.997874041163148 1
No NA 1 0 1 1
No No 1 0.993632471233054 0.00636752876694597 2
No No 1 0.999999811506904 0.000000188493095743761 2
NA NA 1 0.00520788471461257 0.994792115285387 1
No Yes 1 0.814904981259066 0.185095018740934 2
Yes Yes 1 0.00372406585636731 0.996275934143633 1
No No 1 0.999999780489282 0.000000219510717788857 2
Yes Yes 1 0.999165014054869 0.000834985945131097 2
Yes No 1 0.018563775215538 0.981436224784462 1
Yes No 1 0.999578897432206 0.000421102567794468 2
Yes No 1 0.0363395220825404 0.96366047791746 1
Yes Yes 1 0.00000295206175403648 0.999997047938246 1
NA Yes 1 0 1 1
NA NA 1 0.0000148980840982254 0.999985101915902 1
No NA 1 0.999997465251241 0.00000253474875896103 2
No NA 1 0.032112303164097 0.967887696835903 1
No Yes 1 0.999993104835815 0.00000689516418543023 2
Yes Yes 1 0.994705001650877 0.00529499834912312 2
No NA 1 0.000029816001898408 0.999970183998102 1
No No 1 0.239662854689884 0.760337145310116 1
NA Yes 1 0.999692746596952 0.00030725340304836 2
No Yes 1 0.999709460906037 0.000290539093962817 2
Yes NA 1 0.339986915815123 0.660013084184877 1
Yes Yes 1 0.154184192928763 0.845815807071237 2
Yes Yes 1 0.993828603897367 0.00617139610263307 2
No NA 1 0.956956428712523 0.0430435712874775 2
No No 1 0.016206384015266 0.983793615984734 1
No No 1 0.99988965508523 0.000110344914770188 2
No Yes 1 0.999747111050153 0.000252888949847305 2
Yes No 1 0.999958654619268 0.0000413453807316738 2
Yes No 1 0.999935745498947 0.000064254501053077 2
No Yes 1 0.999693055837973 0.00030694416202736 2
NA NA 1 0.999904053504786 0.0000959464952135567 2
No No 1 0.999998187096332 0.0000018129036680633 2
NA Yes 1 1 0 2
Yes Yes 1 0.977231960874179 0.0227680391258208 2
No No 1 1 0 2
Yes Yes 1 0.0000718861658125833 0.999928113834187 1
Yes Yes 1 0.999950469774924 0.0000495302250764145 2
No Yes 1 0.999974269244374 0.0000257307556262563 2
Yes Yes 1 0.0322596456532 0.9677403543468 1
Yes Yes 1 0.143768974040873 0.856231025959126 1
Yes Yes 1 0.00166217769636106 0.998337822303639 1
No No 1 1 0 2
Yes No 1 0.141159168300333 0.858840831699667 1
Yes Yes 1 0.999999940174555 0.0000000598254445661882 2
No No 1 1 0 2
No No 1 0.998608266843198 0.00139173315680246 2
No No 1 1 0 2
No Yes 1 0.0129978914445549 0.987002108555445 1
No Yes 1 0.999999982231423 0.0000000177685766545396 2
Yes Yes 1 0.0000475566063353998 0.999952443393665 1
Yes Yes 1 0.241726286562145 0.758273713437855 1
Yes No 1 1 0 2
Yes No 1 1 0 2
Yes No 1 1 0 2
Yes Yes 1 0.346833734152309 0.653166265847691 1
No No 1 1 0 2
Yes NA 1 0 1 1
No No 1 0.129802620077996 0.870197379922004 1
No No 1 0.999999966222003 0.0000000337779968903452 2
No No 1 0.000409378034422773 0.999590621965577 1
Yes No 1 1 0 2
Yes NA 1 0.995400690597407 0.00459930940259274 2
Yes NA 1 0 1 1
No NA 1 0 1 1
Yes No 1 0.999649006684076 0.000350993315924382 2
Yes No 1 0.014995180713781 0.985004819286219 1
Yes Yes 1 0.0000157128294555071 0.999984287170545 1
Yes NA 1 0.0011361874845479 0.998863812515452 1
NA Yes 1 0.999899478270531 0.000100521729469081 2
No No 1 0.999999991094627 0.00000000890537332799346 2
Yes Yes 1 0.979297518228136 0.0207024817718645 2
NA NA 1 0 1 1
Yes Yes 1 0.0000478759900982574 0.999952124009902 1
No No 1 0.999999980358975 0.0000000196410249904903 2
Yes Yes 1 0.5 0.5 2
No Yes 1 0.999999992558064 0.00000000744193619396927 2
Yes No 1 0.999647243121431 0.000352756878568618 2
Yes Yes 1 0.000205566293803176 0.999794433706197 1
No No 1 0.450300181098848 0.549699818901152 1
NA NA 1 0.999918223451091 0.000081776548909155 2
No NA 1 0.999814685138214 0.000185314861786164 2
Yes Yes 1 1 0 2
Yes No 1 0.985561344103452 0.0144386558965486 2
No Yes 1 0.999921888850934 0.0000781111490664493 2
Yes Yes 1 0 1 1
Yes No 1 1 0 2
No No 1 0.994954205423744 0.00504579457625555 2
No No 1 0 1 1
Yes Yes 1 0.00541195818361658 0.994588041816383 1
Yes Yes 1 0 1 1
No No 1 0.999999747497051 0.000000252502949370592 2
Yes Yes 1 0.838116079889557 0.161883920110443 2
Yes Yes 1 0.000000912868399693682 0.9999990871316 1
Yes Yes 1 0.00453993811950076 0.995460061880499 1
Yes Yes 1 0.00299235838511949 0.997007641614881 1
Yes No 1 0.000487740602948787 0.999512259397051 1
No No 1 1 0 2
No No 1 1 0 2
No No 1 0.999999974907801 0.0000000250921992312706 2
Yes NA 1 0.00689679560656218 0.993103204393438 1
No No 1 0.000348849036347967 0.999651150963652 1
No Yes 1 0.960242808211049 0.0397571917889508 2
Yes Yes 1 0.428799571736246 0.571200428263754 1
No No 1 0.00790706013233262 0.992092939867667 1
Yes Yes 1 0.00605668545486343 0.993943314545137 1
Yes Yes 1 0.999999257576267 0.00000074242373326069 2
Yes No 1 0 1 1
No Yes 1 0.999999997097717 0.00000000290228252132592 2
No Yes 1 0.000520234991938423 0.999479765008062 1
NA NA 1 1 0 2
Yes No 1 0.99346364955401 0.00653635044599002 2
Yes Yes 1 0.991747543952603 0.00825245604739661 2
No No 1 0.99697404296439 0.00302595703561021 2
Yes NA 1 0.000930379605656382 0.999069620394344 1
NA NA 1 0.999948793255839 0.0000512067441606533 2
Yes No 1 0.29125782849087 0.70874217150913 1
