imp	ST006Q04TA	theta#1	theta#2	theta#	LATENTST006Q04TA#1	LATENTST006Q04TA#2	LATENTST006Q04TA#	jf0_1_1	jf0_1_2	jf0_2_1	jf0_2_2
1	Yes	    0.962283	   0.0377173	1	1.37901e-302	           1	2	1.31157e-302	    0.962283	6.74451e-304	   0.0377173
1	No	    0.962283	   0.0377173	1	1.37901e-302	           1	2	1.31157e-302	    0.962283	6.74451e-304	   0.0377173
1	Yes	    0.962283	   0.0377173	1	1.37901e-302	           1	2	1.31157e-302	    0.962283	6.74451e-304	   0.0377173
1	Yes	    0.962283	   0.0377173	1	1.37901e-302	           1	2	1.31157e-302	    0.962283	6.74451e-304	   0.0377173
2	No	   0.0404048	    0.959595	2	1.77099e-302	           1	2	5.50707e-304	   0.0404048	1.71592e-302	    0.959595
2	No	   0.0404048	    0.959595	2	1.77099e-302	           1	2	5.50707e-304	   0.0404048	1.71592e-302	    0.959595
2	Yes	   0.0404048	    0.959595	2	1.77099e-302	           1	2	5.50707e-304	   0.0404048	1.71592e-302	    0.959595
2	NA	   0.0402428	    0.959757	2	   0.0174018	    0.982598	2	 0.000541124	   0.0397017	   0.0168606	    0.942897
1	No	    0.962283	   0.0377173	1	1.37901e-302	           1	2	1.31157e-302	    0.962283	6.74451e-304	   0.0377173
2	No	   0.0404048	    0.959595	2	1.77099e-302	           1	2	5.50707e-304	   0.0404048	1.71592e-302	    0.959595
1	No	    0.962283	   0.0377173	1	1.37901e-302	           1	2	1.31157e-302	    0.962283	6.74451e-304	   0.0377173
1	Yes	    0.962283	   0.0377173	1	1.37901e-302	           1	2	1.31157e-302	    0.962283	6.74451e-304	   0.0377173
2	Yes	   0.0404048	    0.959595	2	1.77099e-302	           1	2	5.50707e-304	   0.0404048	1.71592e-302	    0.959595
1	NA	     0.96213	   0.0378695	1	   0.0136026	    0.986397	2	   0.0129373	    0.949193	 0.000665277	   0.0372042
2	Yes	   0.0404048	    0.959595	2	1.77099e-302	           1	2	5.50707e-304	   0.0404048	1.71592e-302	    0.959595
1	Yes	    0.962283	   0.0377173	1	1.37901e-302	           1	2	1.31157e-302	    0.962283	6.74451e-304	   0.0377173
1	Yes	    0.962283	   0.0377173	1	1.37901e-302	           1	2	1.31157e-302	    0.962283	6.74451e-304	   0.0377173
2	Yes	   0.0404048	    0.959595	2	1.77099e-302	           1	2	5.50707e-304	   0.0404048	1.71592e-302	    0.959595
1	Yes	    0.962283	   0.0377173	1	1.37901e-302	           1	2	1.31157e-302	    0.962283	6.74451e-304	   0.0377173
2	NA	   0.0402428	    0.959757	2	   0.0174018	    0.982598	2	 0.000541124	   0.0397017	   0.0168606	    0.942897
1	No	    0.962283	   0.0377173	1	1.37901e-302	           1	2	1.31157e-302	    0.962283	6.74451e-304	   0.0377173
1	No	    0.962283	   0.0377173	1	1.37901e-302	           1	2	1.31157e-302	    0.962283	6.74451e-304	   0.0377173
1	NA	     0.96213	   0.0378695	1	   0.0136026	    0.986397	2	   0.0129373	    0.949193	 0.000665277	   0.0372042
1	No	    0.962283	   0.0377173	1	1.37901e-302	           1	2	1.31157e-302	    0.962283	6.74451e-304	   0.0377173
2	No	   0.0404048	    0.959595	2	1.77099e-302	           1	2	5.50707e-304	   0.0404048	1.71592e-302	    0.959595
2	No	   0.0404048	    0.959595	2	1.77099e-302	           1	2	5.50707e-304	   0.0404048	1.71592e-302	    0.959595
1	NA	     0.96213	   0.0378695	1	   0.0136026	    0.986397	2	   0.0129373	    0.949193	 0.000665277	   0.0372042
1	No	    0.962283	   0.0377173	1	1.37901e-302	           1	2	1.31157e-302	    0.962283	6.74451e-304	   0.0377173
1	Yes	    0.962283	   0.0377173	1	1.37901e-302	           1	2	1.31157e-302	    0.962283	6.74451e-304	   0.0377173
2	No	   0.0404048	    0.959595	2	1.77099e-302	           1	2	5.50707e-304	   0.0404048	1.71592e-302	    0.959595
2	Yes	   0.0404048	    0.959595	2	1.77099e-302	           1	2	5.50707e-304	   0.0404048	1.71592e-302	    0.959595
1	Yes	    0.962283	   0.0377173	1	1.37901e-302	           1	2	1.31157e-302	    0.962283	6.74451e-304	   0.0377173
2	Yes	   0.0404048	    0.959595	2	1.77099e-302	           1	2	5.50707e-304	   0.0404048	1.71592e-302	    0.959595
1	Yes	    0.962283	   0.0377173	1	1.37901e-302	           1	2	1.31157e-302	    0.962283	6.74451e-304	   0.0377173
1	Yes	    0.962283	   0.0377173	1	1.37901e-302	           1	2	1.31157e-302	    0.962283	6.74451e-304	   0.0377173
1	NA	     0.96213	   0.0378695	1	   0.0136026	    0.986397	2	   0.0129373	    0.949193	 0.000665277	   0.0372042
1	NA	     0.96213	   0.0378695	1	   0.0136026	    0.986397	2	   0.0129373	    0.949193	 0.000665277	   0.0372042
2	No	   0.0404048	    0.959595	2	1.77099e-302	           1	2	5.50707e-304	   0.0404048	1.71592e-302	    0.959595
